fdc_id,food_name,category_id,calories,carbs,protein,fat,fiber
171492,"Turkey, all classes, breast, meat and skin, cooked, roasted",5,189.0,0.0,28.7,7.4,0.0
171483,"Turkey, all classes, gizzard, cooked, simmered",5,155.0,0.0,26.4,4.6,0.0
171485,"Turkey, all classes, heart, cooked, simmered",5,174.0,0.0,24.9,7.5,0.0
171494,"Turkey, all classes, leg, meat and skin, cooked, roasted",5,208.0,0.0,27.9,9.8,0.0
171491,"Turkey, all classes, light meat, cooked, roasted",5,147.0,0.0,30.1,2.1,0.0
171487,"Turkey, all classes, liver, cooked, simmered",5,189.0,0.0,27.0,8.2,0.0
171094,"Turkey, all classes, wing, meat and skin, cooked, roasted",5,229.0,0.0,27.4,12.4,0.0
171139,"Turkey, back, from whole bird, meat and skin, with added solution, roasted",5,205.0,0.0,25.8,11.4,0.0
174521,"Turkey, back, from whole bird, meat only, with added solution, roasted",5,127.0,0.0,27.0,2.1,0.0
174519,"Turkey, breast, from whole bird, meat only, with added solution, roasted",5,127.0,0.0,27.0,2.1,0.0
174510,"Turkey, dark meat from whole, meat and skin, with added solution, cooked, roasted",5,199.0,0.0,25.6,10.8,0.0
174508,"Turkey, dark meat, meat only, with added solution, cooked, roasted",5,158.0,0.0,26.1,6.0,0.0
171530,"Turkey, drumstick, from whole bird, meat only, roasted",5,139.0,0.0,30.1,2.1,0.0
171128,"Turkey, drumstick, from whole bird, meat only, with added solution, roasted",5,158.0,0.0,26.1,6.0,0.0
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",5,200.0,0.0,27.9,9.8,0.0
171095,"Turkey, fryer-roasters, meat and skin, cooked, roasted",5,172.0,0.0,28.3,5.7,0.0
174494,"Turkey, ground, 85% lean, 15% fat, pan-broiled crumbles",5,258.0,0.0,25.1,17.4,0.0
174495,"Turkey, ground, 85% lean, 15% fat, patties, broiled",5,249.0,0.0,25.9,16.2,0.0
